Player ID,Name,First Name,Last Name,Team,Position,Secondary Position,Status,Draft Rank,Games Played,Starts,Tries Scored,Try Assists,Line Breaks,Line Break Assists,Defenders Beaten,Metres Gained,Offloads,Tackles Made,Tackles Missed,Turnovers Forced,Interceptions,50:22s,Penalties Conceded,Errors,Lineouts Won,Lineout Steals,Lineout Errors,Scrums Won,Conversions,Conversions Missed,Penalty Goals,Penalty Goals Missed,Drop Goals,Drop Goals Missed,Yellow Cards,Red Cards
S.Uru,S. Uru,Seru,Uru,RED,LK,LF,Benched,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Havili,D. Havili,David,Havili,CRU,CE,OB,Starting,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Tupou Tae'eiloa,S. Tupou Tae'eiloa,Semisi,Tupou Tae'eiloa,MOP,LF,,Starting,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Grealy,M. Grealy,Mac,Grealy,FOR,OB,,Starting,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Harkin,C. Harkin,Callum,Harkin,HUR,OB,FH,,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H.Godfrey,H. Godfrey,Harry,Godfrey,HUR,FH,OB,ACL - Season,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Laumape,N. Laumape,Ngani,Laumape,MOP,CE,,Starting,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Lam,A. Lam,AJ,Lam,BLU,CE,OB,Starting,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q.Tupaea,Q. Tupaea,Quinn,Tupaea,CHI,CE,,Starting,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Taukei'aho,S. Taukei'aho,Samisoni,Taukei'aho,CHI,HO,,Starting,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Kirifi,D. Kirifi,Du'Plessis,Kirifi,HUR,LF,,,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Anderson,L. Anderson,Lachie,Anderson,RED,OB,,Starting,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Mataele,M. Mataele,Manasa,Mataele,DRU,OB,CE,,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Faessler,M. Faessler,Matt,Faessler,RED,HO,,Starting,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Higgins,R. Higgins,Riley,Higgins,HUR,CE,,,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Donaldson,B. Donaldson,Ben,Donaldson,FOR,FH,OB,Starting,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Nanai-Seturo,E. Nanai-Seturo,Etene,Nanai-Seturo,CHI,OB,,Starting,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Kellaway,A. Kellaway,Andrew,Kellaway,WAR,OB,,,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Lynagh,T. Lynagh,Tom,Lynagh,RED,FH,,Out,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Saunders,A. Saunders,Archie,Saunders,WAR,OB,,,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Aumua,A. Aumua,Asafo,Aumua,HUR,HO,,,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Rona,D. Rona,Daniel,Rona,CHI,CE,OB,Starting,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Narawa,E. Narawa,Emoni,Narawa,CHI,OB,CE,,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
